Id,event_url,event_name,event_date,event_location,event_gender,logo_url,event_website,event_type,player_age_range,created_by,created_datetime
158,https://www.connectlax.com/event/the_national_lacrosse_invitational,The National Lacrosse Invitational,Jul 8-9 '19,"Setauket- East Setauket, NY",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-1320-43903.jpg,http://nliwm.com,Tournament,13 - 18,spider,20190308
159,https://www.connectlax.com/event/the_mountain_goat,The Mountain Goat,Jun 15-16 '19,"Boise, ID",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3111-43811.jpg,https://www.uslaxevents.com/mountaingoat,Tournament,13 - 18,spider,20190308
160,https://www.connectlax.com/event/the_magnificent_7_championship,The Magnificent 7 Championship,Jul 27-28 '19,"Stony Brook, NY",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/college_pics/thumb-260.jpg,https://www.lacrosseevents.com/,Tournament,13 - 18,spider,20190308
161,https://www.connectlax.com/event/the-spring-madness-play-day_2018,The Spring MADness Play Day,Mar 17 '19,"Bethesda, MD",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3089-43649.jpg,http://www.madlaxevents.com/madness,Tournament,13 - 18,spider,20190308
162,https://www.connectlax.com/event/the_summer_swell,The Summer Swell,Jun 1-2 '19,"Frederica, DE",Women's 8-13,https://s3.amazonaws.com/connectsports-prod/pics/thumb-2953-43374.jpg,https://www.ultimateeventsandsports.com/events/summer-swell/,Tournament,8 - 13,spider,20190308
163,https://www.connectlax.com/event/the_summer_roundup,The Summer Roundup,Jun 8-9 '19,"West Chester, PA",Women's 8-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-2952-43373.jpg,https://www.ultimateeventsandsports.com/events/the-fall-roundup/,Tournament,8 - 18,spider,20190308
164,https://www.connectlax.com/event/thunderbays_battle_on_the_beach,ThunderBay’s Battle on the Beach,Aug 3-4 '19,"Ocean City, MD",Men's 8-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3034-43579.jpg,http://www.cselax.com/tbbeachlax/,Tournament,8 - 18,spider,20190308
165,https://www.connectlax.com/event/the_surge_2019,The Surge,Jul 12-14 '19,"Frederica, DE",Women's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-2951-43370.jpg,https://www.ultimateeventsandsports.com/events/categories/lacrosse/,Tournament,13 - 18,spider,20190308
166,https://www.connectlax.com/event/trilogy_24_tournament,Trilogy 24 Tournament,Jun 27-28 '19,"Towson, MD",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3261-43834.jpg,http://trilogylacrosse.com/events/boys-tournaments/trilogy-24-recruiting-tournament,Tournament,13 - 18,spider,20190308
167,https://www.connectlax.com/event/trilogy_atlanta_tournament_2019,Trilogy Atlanta Tournament,Jun 1-2 '19,"Kennesaw, GA",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3257-43830.jpg,http://trilogylacrosse.com/events/boys-tournaments/trilogy-atlanta-tournament,Tournament,13 - 18,spider,20190308
168,https://www.connectlax.com/event/trilogy_gettysburg_tournament_2019,Trilogy Gettysburg Tournament,Jun 15-16 '19,"Gettysburg, PA",Men's 8-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3258-43831.jpg,http://trilogylacrosse.com/events/boys-tournaments/gettysburg-tournament,Tournament,8 - 18,spider,20190308
169,https://www.connectlax.com/event/town_cup,Town Cup,Apr 13 '19,"Huntington Station, NY",Men's 8-13,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3143-43893.jpg,http://www.blatantevents.com/,Tournament,8 - 13,spider,20190308
170,https://www.connectlax.com/event/uwlx_summer_draw_2019,UWLX Summer Draw,Jun 17-19 '19,"Bel Air, MD",Women's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3045-43561.jpg,https://3dlacrosse.com/tournaments,Tournament,13 - 18,spider,20190308
171,https://www.connectlax.com/event/the_grind_2019_1,The Grind,Jul 6-7 '19,"Malvern, PA",Women's 8-17,https://s3.amazonaws.com/connectsports-prod/pics/thumb-2950-43369.jpg,http://www.ultimateeventsandsports.com/events/the-grind/,Tournament,8 - 17,spider,20190308
172,https://www.connectlax.com/event/trilogy_buckeye_classic_2019,Trilogy Buckeye Classic,Jun 22-23 '19,"West Chester, OH",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3260-43833.jpg,http://trilogylacrosse.com/events/boys-tournaments/trilogy-buckeye-classic,Tournament,13 - 18,spider,20190308
