tournament_endpoint,tournament_division_id,tournament_id,tournament_name,time_period,Location,tournament_division_name,last_update,game_date,game_id,game_time,location_name,away_team_id,away_team,away_score,home_score,home_team
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20181124004107713c9103b15eddc48,h2018112400451123576cefff287ab42,h20181124004107713c9103b15eddc48,Black Friday Stampede,"Nov 29, 2019","Cincinnati, OH",Girls High School,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20181124004107713c9103b15eddc48,h20181124004107750756d7b2ea7c345,h20181124004107713c9103b15eddc48,Black Friday Stampede,"Nov 29, 2019","Cincinnati, OH",Boys '09,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20181124004107713c9103b15eddc48,h20181124004755821ae21d890e09348,h20181124004107713c9103b15eddc48,Black Friday Stampede,"Nov 29, 2019","Cincinnati, OH",Boys '11,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20181124004107713c9103b15eddc48,h201811240047439277c68d222ca8242,h20181124004107713c9103b15eddc48,Black Friday Stampede,"Nov 29, 2019","Cincinnati, OH",Boys '10,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20181124004107713c9103b15eddc48,h201811240046508562020f7a9b9a64a,h20181124004107713c9103b15eddc48,Black Friday Stampede,"Nov 29, 2019","Cincinnati, OH",Girls '05/06,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20181124004107713c9103b15eddc48,h201811240046373767772be8d44b441,h20181124004107713c9103b15eddc48,Black Friday Stampede,"Nov 29, 2019","Cincinnati, OH",Girls '07,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20181124004107713c9103b15eddc48,h2018112400410774310b92c6a46244a,h20181124004107713c9103b15eddc48,Black Friday Stampede,"Nov 29, 2019","Cincinnati, OH",Girls '08,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20181124004107713c9103b15eddc48,h201811240046187713d33872c9c964d,h20181124004107713c9103b15eddc48,Black Friday Stampede,"Nov 29, 2019","Cincinnati, OH",Girls '09,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20181124004107713c9103b15eddc48,h20181124004724161f2fa0b53ce0e43,h20181124004107713c9103b15eddc48,Black Friday Stampede,"Nov 29, 2019","Cincinnati, OH",Girls '10,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20181124004107713c9103b15eddc48,h20181124004734065c17592c5f34444,h20181124004107713c9103b15eddc48,Black Friday Stampede,"Nov 29, 2019","Cincinnati, OH",Girls '11,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201902192212598188952caf6982845,h201902192216292541c4f603d41eb45,h201902192212598188952caf6982845,PGF Atlanta Fastpitch Classic Showcase,"Nov 23 - 24, 2019","Cumming, GA",18u,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20181124004107713c9103b15eddc48,h2018112400471240974affead0fe242,h20181124004107713c9103b15eddc48,Black Friday Stampede,"Nov 29, 2019","Cincinnati, OH",Adult Coed,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201902192212598188952caf6982845,h20190219221612792a641aea402db41,h201902192212598188952caf6982845,PGF Atlanta Fastpitch Classic Showcase,"Nov 23 - 24, 2019","Cumming, GA",16u,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201902192212598188952caf6982845,h20190219221554798cc7842c8f8f946,h201902192212598188952caf6982845,PGF Atlanta Fastpitch Classic Showcase,"Nov 23 - 24, 2019","Cumming, GA",14u,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190215212105397af100c65e67c47,h20190215212105426ded8add73d6244,h20190215212105397af100c65e67c47,Winter West Coast Championship,"Nov 23 - 24, 2019","Mather, CA • Sacramento, CA",Women's,,,,,,,,,,
